Invoice,StockCode,Quantity,InvoiceDate,Price,CustomerID,Country,TotalAmount,Description
536365,85123A,6,2010-12-01 08:26:00,2.55,u1785,United Kingdom,15.299999999999999,CREAM HANGING HEART T-LIGHT HOLDER
536373,85123A,6,2010-12-01 09:02:00,2.55,u1785,United Kingdom,15.299999999999999,CREAM HANGING HEART T-LIGHT HOLDER
536375,85123A,6,2010-12-01 09:32:00,2.55,u1785,United Kingdom,15.299999999999999,CREAM HANGING HEART T-LIGHT HOLDER
536390,85123A,64,2010-12-01 10:19:00,2.55,u17511,United Kingdom,163.2,CREAM HANGING HEART T-LIGHT HOLDER
536394,85123A,32,2010-12-01 10:39:00,2.55,u13408,United Kingdom,81.6,CREAM HANGING HEART T-LIGHT HOLDER
536396,85123A,6,2010-12-01 10:51:00,2.55,u1785,United Kingdom,15.299999999999999,CREAM HANGING HEART T-LIGHT HOLDER
536401,85123A,4,2010-12-01 11:21:00,2.95,u15862,United Kingdom,11.8,CREAM HANGING HEART T-LIGHT HOLDER
536406,85123A,8,2010-12-01 11:33:00,2.55,u1785,United Kingdom,20.4,CREAM HANGING HEART T-LIGHT HOLDER
536502,85123A,6,2010-12-01 12:36:00,2.95,u16552,United Kingdom,17.700000000000003,CREAM HANGING HEART T-LIGHT HOLDER
536520,85123A,3,2010-12-01 12:43:00,2.95,u14729,United Kingdom,8.850000000000001,CREAM HANGING HEART T-LIGHT HOLDER
536542,85123A,32,2010-12-01 14:11:00,2.95,u16456,United Kingdom,94.4,CREAM HANGING HEART T-LIGHT HOLDER
536544,85123A,4,2010-12-01 14:32:00,5.91,,United Kingdom,23.64,CREAM HANGING HEART T-LIGHT HOLDER
536575,85123A,128,2010-12-01 16:01:00,2.55,u13777,United Kingdom,326.4,CREAM HANGING HEART T-LIGHT HOLDER
536576,85123A,128,2010-12-01 16:11:00,2.55,u13777,United Kingdom,326.4,CREAM HANGING HEART T-LIGHT HOLDER
536590,85123A,6,2010-12-01 16:52:00,2.95,u13065,United Kingdom,17.700000000000003,CREAM HANGING HEART T-LIGHT HOLDER
536592,85123A,9,2010-12-01 17:06:00,5.91,,United Kingdom,53.19,CREAM HANGING HEART T-LIGHT HOLDER
536594,85123A,6,2010-12-01 17:22:00,2.95,u15235,United Kingdom,17.700000000000003,CREAM HANGING HEART T-LIGHT HOLDER
536600,85123A,6,2010-12-02 08:32:00,2.55,u1785,United Kingdom,15.299999999999999,CREAM HANGING HEART T-LIGHT HOLDER
536602,85123A,6,2010-12-02 08:34:00,2.55,u1785,United Kingdom,15.299999999999999,CREAM HANGING HEART T-LIGHT HOLDER
536607,85123A,6,2010-12-02 09:29:00,2.95,u17732,United Kingdom,17.700000000000003,CREAM HANGING HEART T-LIGHT HOLDER
536609,85123A,6,2010-12-02 09:41:00,2.55,u1785,United Kingdom,15.299999999999999,CREAM HANGING HEART T-LIGHT HOLDER
536612,85123A,6,2010-12-02 09:44:00,2.55,u1785,United Kingdom,15.299999999999999,CREAM HANGING HEART T-LIGHT HOLDER
536628,85123A,6,2010-12-02 10:54:00,2.55,u1785,United Kingdom,15.299999999999999,CREAM HANGING HEART T-LIGHT HOLDER
536630,85123A,6,2010-12-02 10:56:00,2.55,u1785,United Kingdom,15.299999999999999,CREAM HANGING HEART T-LIGHT HOLDER
536685,85123A,12,2010-12-02 12:23:00,2.55,u1785,United Kingdom,30.599999999999998,CREAM HANGING HEART T-LIGHT HOLDER
536690,85123A,6,2010-12-02 12:25:00,2.55,u1785,United Kingdom,15.299999999999999,CREAM HANGING HEART T-LIGHT HOLDER
536749,85123A,1,2010-12-02 13:49:00,2.95,u17976,United Kingdom,2.95,CREAM HANGING HEART T-LIGHT HOLDER
536750,85123A,12,2010-12-02 14:04:00,2.55,u1785,United Kingdom,30.599999999999998,CREAM HANGING HEART T-LIGHT HOLDER
536752,85123A,6,2010-12-02 14:06:00,2.55,u1785,United Kingdom,15.299999999999999,CREAM HANGING HEART T-LIGHT HOLDER
536763,85123A,12,2010-12-02 14:42:00,2.95,u17685,United Kingdom,35.400000000000006,CREAM HANGING HEART T-LIGHT HOLDER
